feature,shap_importance_class_Adequate,shap_importance_class_Effective,shap_importance_class_Ineffective
text_length,0.1170058297957128,0.13297931340837038,0.04020327939112141
discourse_type_Evidence,0.044232108443975446,0.11594544064253569,0.10615650184452533
aliens,0.01689298955084354,0.009722552431501209,0.01848928539419628
check,0.010160738307346364,0.005963520990689538,0.013554678878387984
problems,0.008528857597717028,0.01144030722344129,0.017112468599029186
discourse_type_Position,0.007452841040212661,0.00993078513070941,0.005875159885035828
real world,0.006554125053760816,0.015067505903941703,0.008843328981392649
sources,0.006245309995587981,0.010492205382264102,0.007006450183563546
think keep,0.006232269421011791,0.008698151802729306,0.0026100283894369045
table,0.006027680270158808,0.006761739145052559,0.0009571588847309437
keep,0.0059610825690976,0.009774562599023335,0.004009886499254327
crucial,0.005554037418981502,0.009139215159564486,0.005409800658737745
got,0.005444284284552685,0.0032606651180430053,0.005992489219651777
night,0.005349679932192382,0.0070041305445532635,0.01212738654866751
maybe,0.005238811486589717,0.002760471739982855,0.005735089275319738
get,0.005192208170588743,0.005478121295093831,0.0014828222870795493
would better,0.005083036221367187,0.0075369794477660205,0.002682034392295716
could,0.005045733725704689,0.00346880230322417,0.002402523848429756
student,0.004955365255585323,0.0033751862627605044,0.008271287152302017
dont,0.00492969649341851,0.002970864641152382,0.005699951086679754
mars,0.0049260139462873505,0.002445977060454567,0.0053646088412223035
ship,0.0048700812528658126,0.004429268011391109,0.006283600665209761
teenager,0.0048498242269167085,0.00879606835486434,0.008163370610846796
cases,0.004761290788450006,0.007392901219366099,0.00998875047535315
real,0.004621867091466342,0.009763005134805366,0.005250840189820218
advice,0.0044769770712973864,0.008775372645421043,0.00466765162332077
think,0.004430808579939535,0.008030760897937906,0.005007540229116291
home,0.004198899405106284,0.005809839251985015,0.0016109371055200807
many things,0.004092975610644989,0.004812714570059818,0.0009301441132057561
lots,0.004081608827830226,0.004930628225525474,0.0008490184488554768
would get,0.0040566133552990356,0.005008048836809298,0.0012023826976357839
sitting,0.003968426425197525,0.0038304298417119868,0.00022421202930886312
helping,0.003918129477408845,0.010959878181203423,0.009510838659360652
therefore,0.003889020853083655,0.007945510852486676,0.006173829137203883
keep electoral,0.0037140988089836187,0.0008527367792613802,0.003195567407669434
