feature,importance
abilities,-0.3170886656846415
ability,0.1684268375144539
able,0.16897865215071778
able attend,-0.4939070064855143
able choose,-0.1241124440650037
able design,-0.7045411136605879
able get,-0.02839113329748998
able go,0.17760463413814193
able help,0.6703675082727789
able learn,-0.37547654003963005
able make,0.3319072040677454
able participate,0.30091185037916973
able play,0.009651603250670085
able read,0.6467565697292859
able see,0.3315630983052219
able take,-0.8187320613812634
able tell,0.07002089894588319
able use,-0.19486366241050976
able vote,-0.6860116626585503
able work,0.2801917943805623
abolish,0.8161029529493464
abolish electoral,0.011300765947175445
abolished,-0.2291636521903636
abolishing,0.6496198888171216
abolishing electoral,0.3976893294759578
absolutely,-0.0347142429378197
academic,0.1946612204651435
academically,-0.28463724416216335
academics,0.02501035097365007
accelerate,-0.4257574280106951
accept,-0.40233565637035473
access,-0.4420724197444455
accessible,-0.5738270013703849
accident,0.10774977430308004
accidents,0.6213355733466939
accomplish,-0.8881555418099479
according,-0.12712618696023606
according article,-0.10175254033828196
according gallup,0.0505261262194787
according source,-0.45246237638140213
account,-0.1464519932823093
accurate,0.5190666906275246
accustomed,-0.6231183330072341
achieve,-0.6949986717048845
acid,0.008037100927050697
acid venuss,0.1276048324497882
across,-0.418590533232812
act,-0.0009494029530263196
acting,-0.4544387745727561
action,-0.37259540372397976
action coding,-0.16967907298535484
action unit,-0.18680593230071255
actions,0.309869231667974
active,-0.05377869758739386
activities,0.004631998591900318
activities help,-0.42604854978343626
activities like,-1.1997965966390451
activities school,-0.7659112180713908
activities students,0.8329881418935194
activities would,-0.29142322624966954
activity,0.451580563090066
activity school,-0.5292598850849929
activity students,-0.2563817461539297
activity would,0.20388512800627345
activitys,0.8168209798597454
actual,-0.22345437485107303
actually,0.15209569930835956
actually shows,0.12769740498513796
actually voting,0.21065132503654443
ad,0.20671432636078618
ad appears,-0.2539746945992518
adapt,-0.05144271576073946
add,-0.41709388550256016
added,-0.4302156227891103
adding,0.05808244512154222
addition,-0.20666292916876747
additional,-0.3430910096708065
additionally,-0.9740326430222389
adjust,-0.9610895523052542
administration,0.01462720850233382
ads,0.05479430519930807
adult,-0.3665739592335757
adults,-0.011590679973148148
advance,0.22074007247709052
advanced,-0.6481956083977651
advancements,-0.29277106637388267
advantage,-0.20290039097526205
advantages,0.051470442882796105
advantages limiting,-0.5909226587513464
adventure,-0.6390141483506421
advice,0.15581567290048606
advice help,-0.10506507172650689
advice multiple,-0.0805816557048979
advice one,-0.35300267930615875
advice others,0.01919173209881886
advice people,0.488977605369347
advise,0.058773351457171004
affect,0.2510218524271035
affected,-0.6885328026533368
affects,-0.16429262657166152
afford,0.11491871063309203
aflcio,-0.5176994268723035
afraid,-0.3604575567801378
age,-0.39301398520026737
ago,0.5288487197653223
ago venus,0.3753108562075174
agree,0.7779395065411633
agree students,-0.20647043229645978
agreed,-0.20786690801504257
ahead,-0.800514644209163
aid,-0.15815682911275325
air,-0.3516939707466131
air global,0.16748130698449476
air pollution,-0.243365724552009
air pressure,0.25110265596884085
airplanes,-0.1243222898581301
al,-0.4562926250225124
al gore,-0.019461954538830695
alert,0.6477886132041446
alien,0.789408146338382
alien artifact,0.11332535789461659
alien life,-0.2815355927180296
alien markings,0.3890183197134076
alien monument,0.7649892708954729
aliens,0.4771676219496914
aliens created,0.1480697062799887
aliens made,-0.30422641686201346
aliens real,-0.12746180538538454
aliens would,0.1325275527953492
alike,0.10194834041992995
alive,-0.3539723385526878
allocated,-0.302940120243054
allocated electors,-0.19440751456123578
allotment,0.08457279643595911
allotment electors,-0.004219495131101665
allow,0.056823183010803545
allow students,0.3576981639478257
allowed,0.46447627785881196
allowed use,0.036257604992870514
allowing,-0.9494880174407704
allowing students,-0.23705584565599858
allows,-0.4956770581715468
allows much,0.18885081191654918
allows students,-0.3930238968753935
almost,-0.36400599810837514
almost percent,0.7212704822695057
alone,0.32973049676102
along,-0.9605623591542017
along names,-0.29608841373478456
alot,1.0481281460275573
alot people,0.009490047162183827
aloud,0.6552361882970996
already,-0.8210351552443137
already know,-0.45984976464225424
also,0.17390727712856377
also able,-0.04119113903785394
also could,0.3169311906680923
also dont,0.08236532696863637
also electoral,0.4476212642717222
also get,-0.014798969858896236
also give,0.3470411386066508
also gives,0.17668544212954632
also good,0.11830146998706562
also help,0.5024760125494014
also helps,0.2769232793821482
also human,0.12203341270686026
also make,0.43722051403330825
also many,-0.5921863635279095
also may,0.0006092047490093734
also need,0.7394123834791155
also people,-0.3861287081977362
also says,0.5051659875004182
also see,0.2667338926207558
also states,0.47651032581752173
also students,0.9227569323764435
also think,0.20478440059775338
also unfair,-0.19707037668973196
also would,0.08287656813396134
alternative,-0.19957319244074387
although,-0.11743069338633506
although many,-0.32187359630017814
although may,0.6290846647232747
always,-0.23196162181212693
always defy,-0.22552185256745508
always good,0.06772298830078012
always tense,0.13302922279475984
amazing,-0.39073908984805267
amendment,-0.7183230792391844
amendment constitution,-0.14249455171109876
america,-0.7534360479755134
american,-0.1443689626016552
american people,0.18042396360203425
american west,0.24941827229124752
americans,-0.021891808967322936
americas,-0.9190893070216122
among,-0.5612618247306828
amount,-0.010579847368908645
amount people,0.2313879517412644
amount time,0.43675474917344037
amount votes,-0.5584179839518372
amount work,0.06799730925121186
amounts,-0.08450029887730381
anachronism,0.16298152772929395
